PID-E/R    | Caracter    | Index    | Date    
6007-E     | H           |  0       | 2023/04/12 : 21:52:52 
6007-E     | o           |  1       | 2023/04/12 : 21:52:52 
6007-E     | l           |  2       | 2023/04/12 : 21:52:53 
6014-R     | H           |  0       | 2023/04/12 : 21:53:00 
6014-R     | o           |  1       | 2023/04/12 : 21:53:00 
6014-R     | l           |  2       | 2023/04/12 : 21:53:01 
6007-E     | l           |  0       | 2023/04/12 : 21:53:16 
6014-R     | l           |  0       | 2023/04/12 : 21:53:16 
6007-E     | a           |  1       | 2023/04/12 : 21:53:17 
6007-E     | _           |  2       | 2023/04/12 : 21:53:17 
6007-E     | m           |  0       | 2023/04/12 : 21:53:19 
6014-R     | a           |  1       | 2023/04/12 : 21:53:22 
6007-E     | u           |  1       | 2023/04/12 : 21:53:22 
6014-R     | _           |  2       | 2023/04/12 : 21:53:22 
6014-R     | m           |  0       | 2023/04/12 : 21:53:23 
6007-E     | n           |  2       | 2023/04/12 : 21:53:26 
6007-E     | d           |  0       | 2023/04/12 : 21:53:26 
6014-R     | u           |  1       | 2023/04/12 : 21:53:28 
6007-E     | o           |  1       | 2023/04/12 : 21:53:28 
6014-R     | n           |  2       | 2023/04/12 : 21:53:28 
6007-E     |             |  2       | 2023/04/12 : 21:53:28 
6014-R     | d           |  0       | 2023/04/12 : 21:53:28 
6007-E     | e           |  0       | 2023/04/12 : 21:54:27 
6014-R     | o           |  1       | 2023/04/12 : 21:54:28 
6014-R     |             |  2       | 2023/04/12 : 21:54:28 
